impedance,present_position,angle
20.66895,3748,329.4519131
22.46169,3745,329.188211
21.53183,3744,329.1003102
21.99393,3742,328.9245088
21.53183,3737,328.4850052
21.53183,3733,328.1334023
20.66895,3730,327.8697001
22.46169,3726,327.5180972
21.53183,3723,327.254395
21.99393,3719,326.9027921
20.00614,3712,326.2874871
20.00614,3708,325.9358842
20.84135,3704,325.5842813
20.44152,3700,325.2326784
20.84135,3696,324.8810755
20.84135,3692,324.5294726
21.28863,3688,324.1778697
21.21971,3684,323.8262668
20.84135,3672,322.7714581
20.44152,3667,322.3319545
21.28863,3664,322.0682523
20.44152,3661,321.8045502
20.84135,3656,321.3650465
21.21971,3653,321.1013444
20.44152,3649,320.7497415
20.44152,3645,320.3981386
20.44152,3641,320.0465357
20.44152,3638,319.7828335
20.84135,3633,319.3433299
21.28863,3630,319.0796277
21.74139,3626,318.7280248
20.44152,3622,318.3764219
21.74139,3618,318.024819
21.74139,3615,317.7611169
20.44152,3611,317.409514
21.21971,3607,317.0579111
21.28863,3603,316.7063082
20.84135,3599,316.3547053
20.84135,3595,316.0031024
20.84135,3591,315.6514995
20.00614,3587,315.2998966
20.00614,3583,314.9482937
20.44152,3580,314.6845915
20.84135,3576,314.3329886
21.21971,3573,314.0692865
20.44152,3570,313.8055843
20.44152,3566,313.4539814
20.84135,3562,313.1023785
20.44152,3559,312.8386763
20.84135,3554,312.3991727
20.84135,3551,312.1354705
20.44152,3547,311.7838676
21.74139,3543,311.4322647
20.00614,3540,311.1685626
20.34008,3536,310.8169597
21.21971,3532,310.4653568
20.84135,3528,310.1137539
19.65169,3525,309.8500517
19.65169,3520,309.4105481
21.28863,3517,309.1468459
20.0253,3513,308.795243
21.21971,3509,308.4436401
20.44152,3505,308.0920372
21.21971,3501,307.7404343
20.00614,3498,307.4767322
21.21971,3493,307.0372285
20.00614,3490,306.7735264
21.74139,3486,306.4219235
21.74139,3483,306.1582213
21.21971,3479,305.8066184
20.34008,3475,305.4550155
21.21971,3471,305.1034126
20.00614,3468,304.8397104
20.44152,3463,304.4002068
19.28102,3460,304.1365047
20.0253,3456,303.7849018
21.74139,3452,303.4332989
20.34008,3448,303.081696
20.44152,3445,302.8179938
20.00614,3441,302.4663909
19.65169,3437,302.114788
19.65169,3434,301.8510858
21.74139,3430,301.4994829
20.0253,3426,301.14788
21.21971,3422,300.7962771
22.17196,3419,300.532575
20.0253,3415,300.1809721
20.00614,3411,299.8293692
20.34008,3407,299.4777663
21.21971,3403,299.1261634
19.65169,3399,298.7745605
20.44152,3396,298.5108583
20.0253,3392,298.1592554
18.91438,3389,297.8955533
20.00614,3385,297.5439504
20.34008,3382,297.2802482
21.74139,3378,296.9286453
21.21971,3374,296.5770424
19.65169,3370,296.2254395
21.74139,3366,295.8738366
20.00614,3363,295.6101344
22.17196,3359,295.2585315
21.74139,3355,294.9069286
19.22978,3351,294.5553257
21.74139,3347,294.2037229
20.44152,3344,293.9400207
20.44152,3340,293.5884178
21.21971,3336,293.2368149
20.0253,3332,292.885212
19.65169,3328,292.5336091
20.0253,3325,292.2699069
19.28102,3321,291.918304
19.22978,3317,291.5667011
19.65169,3313,291.2150982
18.5832,3309,290.8634953
20.44152,3305,290.5118925
19.22978,3295,289.6328852
19.22978,3294,289.5449845
18.91438,3290,289.1933816
20.84135,3286,288.8417787
20.44152,3283,288.5780765
20.84135,3279,288.2264736
18.91438,3275,287.8748707
20.84135,3271,287.5232678
18.91438,3268,287.2595657
19.28102,3264,286.9079628
20.44152,3261,286.6442606
20.34008,3257,286.2926577
20.44152,3253,285.9410548
19.22978,3249,285.5894519
19.22978,3245,285.237849
18.91438,3242,284.9741468
18.91438,3238,284.622544
19.28102,3234,284.2709411
19.65169,3231,284.0072389
20.84135,3227,283.655636
20.34008,3223,283.3040331
18.91438,3218,282.8645295
18.5832,3210,282.1613237
20.44152,3208,281.9855222
20.00614,3202,281.4581179
21.21971,3197,281.0186143
19.22978,3194,280.7549121
19.28102,3190,280.4033092
20.84135,3184,279.8759049
20.44152,3179,279.4364012
19.65169,3175,279.0847983
20.84135,3171,278.7331954
20.44152,3164,278.1178904
20.84135,3160,277.7662875
19.52576,3155,277.3267839
19.28102,3150,276.8872802
19.22978,3145,276.4477766
19.22978,3141,276.0961737
18.5832,3137,275.7445708
20.44152,3132,275.3050672
20.84135,3126,274.7776629
20.44152,3122,274.42606
20.84135,3116,273.8986556
19.22978,3112,273.5470527
18.5832,3107,273.1075491
18.91438,3102,272.6680455
19.28102,3097,272.2285419
18.91438,3093,271.876939
20.34008,3085,271.1737332
20.44152,3082,270.910031
20.34008,3079,270.6463289
19.22978,3074,270.2068252
19.22978,3068,269.6794209
18.5832,3064,269.327818
19.28102,3059,268.8883144
20.44152,3055,268.5367115
19.52576,3047,267.8335057
19.22978,3042,267.3940021
20.84135,3038,267.0423992
20.84135,3033,266.6028956
18.91438,3028,266.1633919
20.00614,3023,265.7238883
18.91438,3019,265.3722854
21.21971,3014,264.9327818
19.22978,3008,264.4053775
20.84135,3004,264.0537746
20.0253,2999,263.6142709
19.28102,2995,263.262668
18.5832,2984,262.2957601
20.84135,2980,261.9441572
18.91438,2976,261.5925543
19.22978,2973,261.3288521
18.5832,2969,260.9772492
19.28102,2966,260.7135471
19.28102,2961,260.2740434
19.28102,2955,259.7466391
20.84135,2950,259.3071355
19.22978,2946,258.9555326
20.84135,2941,258.516029
18.91438,2937,258.1644261
19.28102,2932,257.7249224
19.28102,2926,257.1975181
20.0253,2922,256.8459152
19.28102,2916,256.3185109
18.5832,2911,255.8790072
20.84135,2907,255.5274043
19.65169,2902,255.0879007
19.65169,2897,254.6483971
19.28102,2892,254.2088935
19.22978,2887,253.7693899
20.84135,2883,253.417787
20.44152,2878,252.9782834
20.44152,2873,252.5387797
18.91438,2868,252.0992761
18.5832,2863,251.6597725
20.00614,2857,251.1323681
20.44152,2852,250.6928645
18.91438,2848,250.3412616
20.44152,2842,249.8138573
20.44152,2838,249.4622544
18.22524,2833,249.0227508
18.91438,2827,248.4953464
20.44152,2823,248.1437435
19.65169,2818,247.7042399
19.22978,2814,247.352637
19.65169,2809,246.9131334
19.22978,2804,246.4736298
19.65169,2800,246.1220269
18.91438,2793,245.5067218
19.22978,2789,245.1551189
18.91438,2784,244.7156153
18.91438,2779,244.2761117
20.44152,2775,243.9245088
18.91438,2770,243.4850052
19.65169,2765,243.0455016
19.28102,2760,242.6059979
18.5832,2755,242.1664943
19.28102,2749,241.63909
19.28102,2739,240.7600827
19.65169,2735,240.4084798
19.65169,2732,240.1447777
20.00614,2729,239.8810755
19.65169,2725,239.5294726
18.91438,2721,239.1778697
18.5832,2716,238.7383661
20.00614,2712,238.3867632
19.65169,2707,237.9472596
20.00614,2703,237.5956567
20.00614,2696,236.9803516
19.65169,2692,236.6287487
19.22978,2688,236.2771458
19.28102,2684,235.9255429
19.65169,2679,235.4860393
18.5832,2667,234.4312306
18.22524,2662,233.991727
19.22978,2658,233.6401241
19.22978,2654,233.2885212
18.91438,2650,232.9369183
20.00614,2646,232.5853154
19.65169,2643,232.3216132
18.91438,2639,231.9700103
19.65169,2633,231.442606
19.65169,2629,231.0910031
18.91438,2625,230.7394002
19.28102,2620,230.2998966
20.00614,2611,229.5087901
17.92841,2607,229.1571872
18.5832,2604,228.893485
19.22978,2599,228.4539814
20.84135,2591,227.7507756
19.22978,2587,227.3991727
18.91438,2583,227.0475698
18.91438,2579,226.6959669
19.65169,2576,226.4322647
20.00614,2570,225.9048604
20.00614,2566,225.5532575
19.65169,2562,225.2016546
18.5832,2557,224.762151
19.65169,2552,224.3226474
18.91438,2547,223.8831437
18.22524,2542,223.4436401
20.00614,2536,222.9162358
19.28102,2533,222.6525336
18.91438,2529,222.3009307
19.22978,2524,221.8614271
19.22978,2519,221.4219235
19.65169,2514,220.9824199
18.50689,2510,220.630817
20.44152,2504,220.1034126
19.22978,2499,219.663909
19.22978,2494,219.2244054
20.44152,2489,218.7849018
18.5832,2484,218.3453981
20.44152,2479,217.9058945
18.22524,2475,217.5542916
19.22978,2470,217.114788
20.44152,2466,216.7631851
19.28102,2461,216.3236815
20.00614,2455,215.7962771
19.65169,2451,215.4446743
19.28102,2446,215.0051706
19.28102,2442,214.6535677
18.22524,2437,214.2140641
19.28102,2431,213.6866598
19.65169,2426,213.2471562
18.5832,2422,212.8955533
20.00614,2417,212.4560496
19.22978,2413,212.1044467
18.5832,2408,211.6649431
20.00614,2403,211.2254395
18.5832,2392,210.2585315
19.65169,2391,210.1706308
18.22524,2391,210.1706308
18.91438,2391,210.1706308
18.91438,2393,210.3464323
18.91438,2395,210.5222337
18.91438,2397,210.6980352
19.22978,2402,211.1375388
18.91438,2406,211.4891417
19.28102,2413,212.1044467
19.22978,2418,212.5439504
18.5832,2421,212.8076525
